name,scientific_name,short_description,what_is_it,what_does_it_do,who_is_it_good_for,who_should_avoid,url
Alpha-Glucan Oligosaccharide,,"Alpha-glucan oligosaccharide is in a class of prebiotic ingredients also found on ingredients lists as Fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract. 

Prebiotics are a class of ingredients which can be found on ingredients lists as fructooligosaccharides, lactobacillus extract filtrate, rhamnose and saccharomyces cerevisiae (yeast) extract.","Prebiotics are a type of non-digestible dietary fiber used in skincare products to support the skin's microbiome, which consists of beneficial bacteria that contribute to skin health.","Prebiotics offer benefits such as:

- Help maintain a balanced and healthy skin microbiome by promoting the growth of beneficial bacteria.

- Support the skin's natural defences against harmful microorganisms, contributing to overall skin health.

- Enhance the skin's barrier function, reducing moisture loss and improving hydration.

- Can have a calming effect on the skin, helping to soothe and alleviate inflammation and irritation.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/alpha-glucan-oligosaccharide
Aloe Vera,,"Aloe vera, also appear on ingredients lists as aloe barbadensis (aloe vera) leaf juice, contains around 75 active constituents, including Vitamins A,C & E to provide antioxidant protection, 8 enzymes to inhibit inflammatory processes in the body and 9 different minerals to support the body’s natural functioning. It also includes sugars to provide hydrating humectant properties, fatty acids to provide anti-inflammatory & antiseptic properties, and hormones to promote wound healing.","Aloe vera is a skincare ingredient derived from the gel-like substance found inside the leaves of the aloe vera plant. It is  used to soothe and hydrate the skin, and to promote overall skin health.","Aloe vera offers multiple benefits for the skin. It helps to soothe and calm irritated or sunburned skin, reducing redness and discomfort. Aloe vera also provides hydration and moisture, promoting a plump and healthy-looking complexion. Additionally, it contains antioxidants that help protect the skin against environmental damage and premature aging.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/aloe-vera
Allantoin,,"Allantoin occurs naturally in the body, but can also be derived from the root of the Comfrey plant or Chamomile, or produced synthetically. It is used in skincare for its ability to promote wound healing and healthy tissue growth, helping in the production of collagen and elastin fibres. Allantoin has also been shown to have soothing and anti-irritant properties, which is thought to be down to its ability to form complexes with irritating agents, thus preventing them from activating inflammatory mechanisms within the skin.","Allantoin is a skincare ingredient derived from plants such as comfrey root. It is known for its ability to soothe and calm the skin, making it a popular choice in skincare products.","Allantoin is a calming, anti-inflammatory, and hydrating ingredient which promotes wound healing by stimulating fibroblasts in the dermis.","[' ', 'Fine Lines', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/allantoin
Algin,,"Algin, also known as sodium alginate, is a large sugar molecule/polysaccharide that is used as a gelling agent in cosmetics, and is derived from brown seaweed. It is used in cosmetics for its hydrating and soothing properties, and in formulations as a binding and thickening agent.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.","An extract from brown seaweed used as hydrating, soothing, and viscosity controlling agent.","In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/algin
Algae Extract,,"It is essentially an underwater plant, designed to get its food from sunlight, much like any other plants, although from much more challenging conditions. In all its forms it acts as a powerful antioxidant, protecting from free radical damage, as well as being able to hydrate the skin and deliver naturally-occurring vitamins into the skin.

Algaes are a class of ingredients, many of which can be used in skincare. Variants of algae used in skincare are ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella protothecoides oil (oleic acid), chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolysed algin, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, laminaria ochroleuca extract. macrocystis pyrifera (kelp) extract, and marine extract","An incredibly interesting natural ingredient source, with some variability in properties depending on the specific source. It acts as powerful antioxidant and humectant/hydrator when used topically!","Algae extracts are multifunctional ingredients, providing hydrating, soothing, and antioxidant benefits. They also act as thickening and water-binding agents in formulations.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/algae-extract
Algae Exopolysaccharides,,"Exopolysaccharides (EPS) are phytochemicals produced by Algae to protect from external stressors: UV radiation, oxidation (from free radicals) and temperature, so these provide skin-protecting benefits in skincare. Being a polysaccharide, this also offers humectant qualities, meaning it can draw water to it, plumping & hydrating the area it is applied to.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.","EPSs are macromolecular polysaccharidic compounds that are produced by algae to protect from UV, free radical damage and temperature.","In skincare, they are are used to protect from external stressors such as UV and free radicals, as well as provide hydration due to their humectant structure.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/algae-exopolysaccharides
Alaria Esculenta Extract,,"A type of edible brown algae, harvested from waters bordering Europe and Ireland, and 
rich in amino acids, minerals and antioxidants. When used in skin care, it hydrates, 
soothes, and imparts the appearance and feel of firmness in the skin. The combined 
properties of the ingredient results in plump and hydrated skin, and reduced signs 
of ageing.


It is in the class of Algae Extract which also include ahnfeltia concinna extract, algae exopolysaccharides, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.","A type of edible brown algae composed of amino acids, minerals (such as zinc, iron, selenium etc), and antioxidant.","Provides soothing, hydrating, firming and antioxidant benefits.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/alaria-esculenta-extract
Alanine,,"Amino acids like Alanine are the small building blocks that make up peptides, and proteins.

Alanine is part of a class of Amino Acids. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.
","Alanine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ",It can help to support water transport between skin cells to keep our surface smooth and hydrated.,"[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/alanine
Ahnfeltia Concinna Extract,,"Ahnfeltia concinna extract, or red marine algae extract, is an algae which provides skin soothing and antioxidant properties for the skin. Being a polysaccharide, it is also an excellent thickener when used in formulations a has great humectant properties, able to draw and bind water to the areas it is applied.

It is in the class of Algae Extract which also include, alaria esculenta extract, algae exopolysaccharides, algae extract, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",A natural extract from red marine algae with multifunctional properties.,"Provides soothing and antioxidant products to the skin, and increases the viscosity of formulations.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/ahnfeltia-concinna-extract
Adenosine,,"Adenosine is a well-researched anti-ageing and soothing ingredient. It is produced naturally in the body, but can also be derived from yeast. It works by stimulating the skin's own collagen production process, to reduce the appearance of wrinkles. It also has anti-inflammatory and barrier repair benefits, so is a fantastic multi-functional skincare ingredient.","Adenosine is a skincare ingredient derived from yeast or produced synthetically. It is known for its ability to improve various signs of aging and promote smoother, more youthful-looking skin.","Provides soothing and skin-restoring properties, and studies indicate potential for anti-ageing and wrinkle improvement.","[' ', 'Acne', ' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/adenosine
